1,1,242,23.2,25.4,30,38.4,13.4,NA
2,1,290,24,26.3,31.2,40,13.8,NA
3,1,340,23.9,26.5,31.1,39.8,15.1,NA
4,1,363,26.3,29,33.5,38,13.3,NA
5,1,430,26.5,29,34,36.6,15.1,NA
6,1,450,26.8,29.7,34.7,39.2,14.2,NA
7,1,500,26.8,29.7,34.5,41.1,15.3,NA
8,1,390,27.6,30,35,36.2,13.4,NA
9,1,450,27.6,30,35.1,39.9,13.8,NA
10,1,500,28.5,30.7,36.2,39.3,13.7,NA
11,1,475,28.4,31,36.2,39.4,14.1,NA
12,1,500,28.7,31,36.2,39.7,13.3,NA
13,1,500,29.1,31.5,36.4,37.8,12,NA
14,1,NA,29.5,32,37.3,37.3,13.6,1
15,1,600,29.4,32,37.2,40.2,13.9,1
16,1,600,29.4,32,37.2,41.5,15,NA
17,1,700,30.4,33,38.3,38.8,13.8,1
18,1,700,30.4,33,38.5,38.8,13.5,NA
19,1,610,30.9,33.5,38.6,40.5,13.3,NA
20,1,650,31,33.5,38.7,37.4,14.8,NA
21,1,575,31.3,34,39.5,38.3,14.1,1
22,1,685,31.4,34,39.2,40.8,13.7,NA
23,1,620,31.5,34.5,39.7,39.1,13.3,NA
24,1,680,31.8,35,40.6,38.1,15.1,NA
25,1,700,31.9,35,40.5,40.1,13.8,NA
26,1,725,31.8,35,40.9,40,14.8,1
27,1,720,32,35,40.6,40.3,15,NA
28,1,714,32.7,36,41.5,39.8,14.1,NA
29,1,850,32.8,36,41.6,40.6,14.9,NA
30,1,1000,33.5,37,42.6,44.5,15.5,0
31,1,920,35,38.5,44.1,40.9,14.3,0
32,1,955,35,38.5,44,41.1,14.3,NA
33,1,925,36.2,39.5,45.3,41.4,14.9,1
34,1,975,37.4,41,45.9,40.6,14.7,0
35,1,950,38,41,46.5,37.9,13.7,NA
36,2,270,23.6,26,28.7,29.2,14.8,NA
37,2,270,24.1,26.5,29.3,27.8,14.5,NA
38,2,306,25.6,28,30.8,28.5,15.2,NA
39,2,540,28.5,31,34,31.6,19.3,NA
